"","hitid","hittypeid","title","description","keywords","reward","creationtime","assignments","numavailable","numpending","numcomplete","hitstatus","reviewstatus","annotation","assignmentduration","autoapprovaldelay","hitlifetime","viewhit","assignmentid","assignmentstatus","autoapprovaltime","assignmentaccepttime","assignmentsubmittime","assignmentapprovaltime","assignmentrejecttime","deadline","feedback","reject","Answer.response_0","Answer.responseValue_0","Answer.responseSide_0","Answer.langCondition_0","Answer.objCondition_0","Answer.word_0","Answer.criticalSimple_0","Answer.criticalComplicated_0","Answer.response_1","Answer.responseValue_1","Answer.responseSide_1","Answer.langCondition_1","Answer.objCondition_1","Answer.word_1","Answer.criticalSimple_1","Answer.criticalComplicated_1","Answer.response_2","Answer.responseValue_2","Answer.responseSide_2","Answer.langCondition_2","Answer.objCondition_2","Answer.word_2","Answer.criticalSimple_2","Answer.criticalComplicated_2","Answer.response_3","Answer.responseValue_3","Answer.responseSide_3","Answer.langCondition_3","Answer.objCondition_3","Answer.word_3","Answer.criticalSimple_3","Answer.criticalComplicated_3","Answer.response_4","Answer.responseValue_4","Answer.responseSide_4","Answer.langCondition_4","Answer.objCondition_4","Answer.word_4","Answer.criticalSimple_4","Answer.criticalComplicated_4","Answer.response_5","Answer.responseValue_5","Answer.responseSide_5","Answer.langCondition_5","Answer.objCondition_5","Answer.word_5","Answer.criticalSimple_5","Answer.criticalComplicated_5","Answer.about","Answer.comment","workerids"
"1","34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","31R230RZ7QOSODE1HO7PNM4Y3938LC","What does this word mean? (less than 3 mins)","Short 3-minute word game.","experiment, psychology, game, words, language","$0.20","Thu Sep 11 16:15:56 PDT 2014",200,0,0,0,"Reviewable","NotReviewed","1 alien-artifacts",600,1296000,"Thu Sep 18 16:15:56 PDT 2014","http://requester.mturk.com/mturk/manageHIT?HITId=34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","33LK57MYLT5D9E0P6X3OGWHT791SZC","Submitted","Fri Sep 26 16:20:00 PDT 2014","Thu Sep 11 16:18:56 PDT 2014","Thu Sep 11 16:20:00 PDT 2014",NA,NA,NA,NA,NA,"""1-1""","""simple""","""right""","""one""","""1-5""","""nur""","""1-1""","""5-2""","""5-3""","""complex""","""right""","""three""","""1-5""","""dumigan""","""1-2""","""5-3""","""1-4""","""simple""","""left""","""three""","""1-5""","""nobimup""","""1-4""","""5-7""","""5-1""","""complex""","""right""","""five""","""1-5""","""patinagidop""","""1-5""","""5-1""","""1-3""","""simple""","""left""","""five""","""1-5""","""gugotobanid""","""1-3""","""5-4""","""5-6""","""complex""","""right""","""one""","""1-5""","""tud""","""1-8""","""5-6""","""Choosing an image for a word. (association)""","""No feedback.""","1"
"2","34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","31R230RZ7QOSODE1HO7PNM4Y3938LC","What does this word mean? (less than 3 mins)","Short 3-minute word game.","experiment, psychology, game, words, language","$0.20","Thu Sep 11 16:15:56 PDT 2014",200,0,0,0,"Reviewable","NotReviewed","1 alien-artifacts",600,1296000,"Thu Sep 18 16:15:56 PDT 2014","http://requester.mturk.com/mturk/manageHIT?HITId=34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","3TK8OJTYM1LZN2FNDJAR0LZMWEOVPZ","Submitted","Fri Sep 26 16:20:15 PDT 2014","Thu Sep 11 16:19:17 PDT 2014","Thu Sep 11 16:20:15 PDT 2014",NA,NA,NA,NA,NA,"""5-5""","""complex""","""left""","""five""","""1-5""","""mimudagitob""","""1-2""","""5-5""","""5-1""","""complex""","""left""","""five""","""1-5""","""gobadokudut""","""1-3""","""5-1""","""5-7""","""complex""","""right""","""one""","""1-5""","""gup""","""1-5""","""5-7""","""5-2""","""complex""","""right""","""three""","""1-5""","""gapitib""","""1-6""","""5-2""","""5-4""","""complex""","""left""","""one""","""1-5""","""nid""","""1-7""","""5-4""","""5-6""","""complex""","""left""","""three""","""1-5""","""bupamog""","""1-4""","""5-6""","""shapes""","""""","2"
"3","34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","31R230RZ7QOSODE1HO7PNM4Y3938LC","What does this word mean? (less than 3 mins)","Short 3-minute word game.","experiment, psychology, game, words, language","$0.20","Thu Sep 11 16:15:56 PDT 2014",200,0,0,0,"Reviewable","NotReviewed","1 alien-artifacts",600,1296000,"Thu Sep 18 16:15:56 PDT 2014","http://requester.mturk.com/mturk/manageHIT?HITId=34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","3SB5N7Y3O34DHOL873WFLJV41ROG0O","Submitted","Fri Sep 26 16:20:18 PDT 2014","Thu Sep 11 16:19:43 PDT 2014","Thu Sep 11 16:20:18 PDT 2014",NA,NA,NA,NA,NA,"""5-4""","""complex""","""left""","""one""","""1-5""","""mup""","""1-1""","""5-4""","""5-6""","""complex""","""right""","""three""","""1-5""","""dabinur""","""1-5""","""5-6""","""5-8""","""complex""","""right""","""five""","""1-5""","""pikipunotud""","""1-3""","""5-8""","""5-5""","""complex""","""left""","""one""","""1-5""","""tib""","""1-7""","""5-5""","""5-2""","""complex""","""right""","""three""","""1-5""","""butogog""","""1-4""","""5-2""","""5-7""","""complex""","""left""","""five""","""1-5""","""bagudodupag""","""1-2""","""5-7""","""words""","""""","3"
"4","34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","31R230RZ7QOSODE1HO7PNM4Y3938LC","What does this word mean? (less than 3 mins)","Short 3-minute word game.","experiment, psychology, game, words, language","$0.20","Thu Sep 11 16:15:56 PDT 2014",200,0,0,0,"Reviewable","NotReviewed","1 alien-artifacts",600,1296000,"Thu Sep 18 16:15:56 PDT 2014","http://requester.mturk.com/mturk/manageHIT?HITId=34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","3I33IC7ZWF2J37BJ0Q8J8LDG0UV2AI","Submitted","Fri Sep 26 16:20:59 PDT 2014","Thu Sep 11 16:19:40 PDT 2014","Thu Sep 11 16:20:59 PDT 2014",NA,NA,NA,NA,NA,"""5-4""","""complex""","""left""","""three""","""1-5""","""motopum""","""1-8""","""5-4""","""5-6""","""complex""","""left""","""three""","""1-5""","""nugonop""","""1-7""","""5-6""","""5-5""","""complex""","""left""","""five""","""1-5""","""gipabatukug""","""1-3""","""5-5""","""1-1""","""simple""","""left""","""one""","""1-5""","""dop""","""1-1""","""5-8""","""1-5""","""simple""","""left""","""one""","""1-5""","""bip""","""1-5""","""5-3""","""5-7""","""complex""","""right""","""five""","""1-5""","""gatipibunid""","""1-6""","""5-7""","""If people see weird words as either simple or complex objects""","""""","4"
"5","34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","31R230RZ7QOSODE1HO7PNM4Y3938LC","What does this word mean? (less than 3 mins)","Short 3-minute word game.","experiment, psychology, game, words, language","$0.20","Thu Sep 11 16:15:56 PDT 2014",200,0,0,0,"Reviewable","NotReviewed","1 alien-artifacts",600,1296000,"Thu Sep 18 16:15:56 PDT 2014","http://requester.mturk.com/mturk/manageHIT?HITId=34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","33M4IA01QG1C340XQQFYT1WMD7JRXP","Submitted","Fri Sep 26 16:21:15 PDT 2014","Thu Sep 11 16:20:18 PDT 2014","Thu Sep 11 16:21:15 PDT 2014",NA,NA,NA,NA,NA,"""5-3""","""complex""","""left""","""five""","""1-5""","""bakipadagup""","""1-8""","""5-3""","""1-6""","""simple""","""right""","""one""","""1-5""","""gog""","""1-6""","""5-1""","""5-7""","""complex""","""right""","""one""","""1-5""","""nid""","""1-2""","""5-7""","""5-5""","""complex""","""right""","""five""","""1-5""","""mibutimutob""","""1-4""","""5-5""","""1-5""","""simple""","""left""","""three""","""1-5""","""nanopim""","""1-5""","""5-8""","""5-2""","""complex""","""left""","""three""","""1-5""","""gipunur""","""1-3""","""5-2""","""If people associate unfamiliar words with odd objects""","""""","5"
"6","34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","31R230RZ7QOSODE1HO7PNM4Y3938LC","What does this word mean? (less than 3 mins)","Short 3-minute word game.","experiment, psychology, game, words, language","$0.20","Thu Sep 11 16:15:56 PDT 2014",200,0,0,0,"Reviewable","NotReviewed","1 alien-artifacts",600,1296000,"Thu Sep 18 16:15:56 PDT 2014","http://requester.mturk.com/mturk/manageHIT?HITId=34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","39LNWE0K4UW7T13JVYA2V2WRWTJUIW","Submitted","Fri Sep 26 16:21:34 PDT 2014","Thu Sep 11 16:20:38 PDT 2014","Thu Sep 11 16:21:34 PDT 2014",NA,NA,NA,NA,NA,"""5-2""","""complex""","""right""","""five""","""1-5""","""topanobatud""","""1-7""","""5-2""","""1-5""","""simple""","""right""","""one""","""1-5""","""tib""","""1-5""","""5-4""","""5-5""","""complex""","""left""","""three""","""1-5""","""mobukug""","""1-6""","""5-5""","""5-6""","""complex""","""left""","""five""","""1-5""","""daniginamig""","""1-2""","""5-6""","""1-8""","""simple""","""right""","""three""","""1-5""","""kibipum""","""1-8""","""5-3""","""1-3""","""simple""","""left""","""one""","""1-5""","""gan""","""1-3""","""5-1""","""what gibberish words we thought were""","""""","6"
"7","34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","31R230RZ7QOSODE1HO7PNM4Y3938LC","What does this word mean? (less than 3 mins)","Short 3-minute word game.","experiment, psychology, game, words, language","$0.20","Thu Sep 11 16:15:56 PDT 2014",200,0,0,0,"Reviewable","NotReviewed","1 alien-artifacts",600,1296000,"Thu Sep 18 16:15:56 PDT 2014","http://requester.mturk.com/mturk/manageHIT?HITId=34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","3NG53N1RLVJ1CQJA5QZH87FELGMP8N","Submitted","Fri Sep 26 16:22:56 PDT 2014","Thu Sep 11 16:22:27 PDT 2014","Thu Sep 11 16:22:56 PDT 2014",NA,NA,NA,NA,NA,"""1-5""","""simple""","""left""","""three""","""1-5""","""nupudop""","""1-5""","""5-8""","""5-6""","""complex""","""left""","""five""","""1-5""","""tinamibanid""","""1-4""","""5-6""","""5-4""","""complex""","""left""","""three""","""1-5""","""budatud""","""1-3""","""5-4""","""1-7""","""simple""","""right""","""five""","""1-5""","""dugokitopag""","""1-7""","""5-2""","""1-1""","""simple""","""left""","""one""","""1-5""","""gup""","""1-1""","""5-7""","""1-6""","""simple""","""right""","""one""","""1-5""","""mup""","""1-6""","""5-5""","""Guessing what words meant""","""No""","7"
"8","34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","31R230RZ7QOSODE1HO7PNM4Y3938LC","What does this word mean? (less than 3 mins)","Short 3-minute word game.","experiment, psychology, game, words, language","$0.20","Thu Sep 11 16:15:56 PDT 2014",200,0,0,0,"Reviewable","NotReviewed","1 alien-artifacts",600,1296000,"Thu Sep 18 16:15:56 PDT 2014","http://requester.mturk.com/mturk/manageHIT?HITId=34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","39N5ACM9HEN1QV2KAI5V83AP5M4P9C","Submitted","Fri Sep 26 16:23:56 PDT 2014","Thu Sep 11 16:22:56 PDT 2014","Thu Sep 11 16:23:56 PDT 2014",NA,NA,NA,NA,NA,"""1-3""","""simple""","""right""","""one""","""1-5""","""dop""","""1-3""","""5-1""","""5-6""","""complex""","""right""","""five""","""1-5""","""kumonigabip""","""1-1""","""5-6""","""1-7""","""simple""","""right""","""three""","""1-5""","""miginur""","""1-7""","""5-2""","""1-4""","""simple""","""left""","""one""","""1-5""","""mup""","""1-4""","""5-8""","""5-4""","""complex""","""left""","""five""","""1-5""","""nanobugokig""","""1-2""","""5-4""","""5-5""","""complex""","""left""","""three""","""1-5""","""bapipag""","""1-8""","""5-5""","""guessing names""","""""","8"
"9","34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","31R230RZ7QOSODE1HO7PNM4Y3938LC","What does this word mean? (less than 3 mins)","Short 3-minute word game.","experiment, psychology, game, words, language","$0.20","Thu Sep 11 16:15:56 PDT 2014",200,0,0,0,"Reviewable","NotReviewed","1 alien-artifacts",600,1296000,"Thu Sep 18 16:15:56 PDT 2014","http://requester.mturk.com/mturk/manageHIT?HITId=34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","3I2PTA7R3TU673MQESB9YHEFLC3QKZ","Submitted","Fri Sep 26 16:23:59 PDT 2014","Thu Sep 11 16:23:24 PDT 2014","Thu Sep 11 16:23:59 PDT 2014",NA,NA,NA,NA,NA,"""5-4""","""complex""","""right""","""one""","""1-5""","""kig""","""1-1""","""5-4""","""5-6""","""complex""","""left""","""three""","""1-5""","""bagimig""","""1-2""","""5-6""","""5-8""","""complex""","""left""","""five""","""1-5""","""modunikugup""","""1-4""","""5-8""","""5-3""","""complex""","""right""","""five""","""1-5""","""gonutibubip""","""1-7""","""5-3""","""5-5""","""complex""","""left""","""three""","""1-5""","""totupag""","""1-3""","""5-5""","""5-2""","""complex""","""left""","""one""","""1-5""","""nop""","""1-8""","""5-2""","""Word judgement""","""""","9"
"10","34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","31R230RZ7QOSODE1HO7PNM4Y3938LC","What does this word mean? (less than 3 mins)","Short 3-minute word game.","experiment, psychology, game, words, language","$0.20","Thu Sep 11 16:15:56 PDT 2014",200,0,0,0,"Reviewable","NotReviewed","1 alien-artifacts",600,1296000,"Thu Sep 18 16:15:56 PDT 2014","http://requester.mturk.com/mturk/manageHIT?HITId=34KYK9TV2R8E4WZFAHIJ5UF3WH9BS5","37WLF8U1WPQDXL36ZJXBSCXOLBQK6V","Submitted","Fri Sep 26 16:24:39 PDT 2014","Thu Sep 11 16:23:29 PDT 2014","Thu Sep 11 16:24:39 PDT 2014",NA,NA,NA,NA,NA,"""5-3""","""complex""","""left""","""five""","""1-5""","""bipakumonop""","""1-4""","""5-3""","""1-7""","""simple""","""right""","""one""","""1-5""","""gir""","""1-7""","""5-4""","""5-5""","""complex""","""left""","""five""","""1-5""","""banapuninur""","""1-3""","""5-5""","""5-6""","""complex""","""right""","""three""","""1-5""","""kimutob""","""1-1""","""5-6""","""1-6""","""simple""","""right""","""one""","""1-5""","""dop""","""1-6""","""5-8""","""5-1""","""complex""","""left""","""three""","""1-5""","""dadugup""","""1-5""","""5-1""","""To understand if people associate complex/simple names with complex/simple object.  If there is a direct correlation or not.""","""Thank you!""","10"
